zid,pid,tid,vote,weight_x_32767,created
34,32,0,-1,0,1729152547391
34,33,0,-1,0,1729155030181
28,21,4,0,0,1729157997231
28,21,7,0,0,1729158015981
26,21,0,1,0,1729182527879
34,35,10,1,0,1729209121877
28,22,13,-1,0,1729209264928
30,21,5,0,0,1729210961574
28,23,0,-1,0,1729243607998
28,23,12,-1,0,1729243627500
28,23,17,-1,0,1729243657772
28,23,15,1,0,1729243721475
30,23,6,1,0,1729248498747
31,21,5,-1,0,1729257604379
29,24,10,1,0,1729258007704
34,39,0,0,0,1729258114239
28,25,4,1,0,1729258226384
30,31,6,1,0,1729258393181
34,41,11,1,0,1729258509338
34,42,9,1,0,1729258645590
31,24,1,1,0,1729258650584
34,42,0,-1,0,1729258684041
30,33,3,1,0,1729258927186
34,43,9,-1,0,1729259140776
34,43,1,-1,0,1729259155850
34,43,8,0,0,1729259165679
26,24,0,1,0,1729259696391
29,26,7,-1,0,1729259841047
28,31,13,-1,0,1729260035573
28,31,5,1,0,1729260076788
30,41,2,1,0,1729260088012
30,42,2,-1,0,1729260175686
34,45,6,1,0,1729260184807
29,28,3,1,0,1729260353245
28,32,10,1,0,1729260469895
29,30,1,0,0,1729260671173
29,31,2,-1,0,1729261158808
30,47,3,0,0,1729261380698
30,48,6,-1,0,1729262124788
31,28,6,-1,0,1729262325488
30,52,1,-1,0,1729262495693
29,35,5,-1,0,1729262643193
28,35,10,0,0,1729262645179
28,35,8,0,0,1729262657557
28,35,12,0,0,1729262674247
30,54,4,1,0,1729262706884
34,48,1,-1,0,1729262715174
30,54,6,1,0,1729262728875
34,49,7,-1,0,1729262745394
28,35,11,0,0,1729262751773
28,36,11,0,0,1729262785553
34,50,11,1,0,1729262801876
29,36,0,0,0,1729262808930
28,38,16,0,0,1729262843941
28,38,5,1,0,1729262851973
28,40,14,0,0,1729262996446
26,30,3,1,0,1729263010584
34,52,2,1,0,1729263193644
29,37,3,-1,0,1729263419175
30,62,0,0,0,1729263584093
34,54,5,-1,0,1729263728367
29,39,10,-1,0,1729263734389
34,54,8,-1,0,1729263745274
26,32,2,0,0,1729263880913
29,40,3,0,0,1729263996795
30,66,0,-1,0,1729264124423
30,67,6,-1,0,1729264297791
34,55,3,1,0,1729264329683
34,55,0,0,0,1729264332672
29,41,8,-1,0,1729264419177
28,42,15,1,0,1729264567374
28,6,14,0,0,1728978603775
28,7,2,-1,0,1728978607386
28,7,8,-1,0,1728978608886
28,7,12,-1,0,1728978609682
28,7,16,0,0,1728978610478
28,8,2,1,0,1728978611992
28,8,8,0,0,1728978613578
28,8,14,0,0,1728978614585
29,1,4,1,0,1728979056886
29,1,10,1,0,1728979057973
29,2,3,0,0,1728979059075
29,2,7,-1,0,1728979059391
29,3,2,0,0,1728979061174
29,3,4,1,0,1728979061242
29,4,1,0,0,1728979062276
29,4,7,0,0,1728979062574
29,4,9,0,0,1728979062744
29,5,2,-1,0,1728979063678
29,5,4,0,0,1728979063759
29,5,8,1,0,1728979063925
29,6,3,0,0,1728979065611
29,6,5,-1,0,1728979065774
29,6,9,-1,0,1728979066473
29,7,10,0,0,1728979068074
29,8,3,0,0,1728979069273
29,8,9,0,0,1728979069560
29,9,6,0,0,1728979070676
30,3,0,-1,0,1728979660482
30,6,1,-1,0,1728979664778
30,6,5,-1,0,1728979665282
30,7,2,-1,0,1728979666678
30,7,6,0,0,1728979667077
34,1,9,0,0,1728996259926
34,1,11,1,0,1728996260074
34,4,9,-1,0,1728996264174
34,5,5,0,0,1728996265457
34,6,7,-1,0,1728996267174
34,7,1,1,0,1728996268378
34,7,9,0,0,1728996269374
34,8,1,1,0,1728996271186
34,8,11,1,0,1728996272979
34,9,3,0,0,1728996274375
34,9,9,0,0,1728996275378
34,11,2,-1,0,1729006525374
31,10,5,0,0,1729006732609
29,10,2,-1,0,1729006887535
34,12,6,-1,0,1729007280984
34,13,1,-1,0,1729041879571
34,14,6,-1,0,1729058603742
30,12,5,-1,0,1729070967774
34,16,7,-1,0,1729070982474
30,12,6,0,0,1729070995611
31,11,0,-1,0,1729071342677
34,18,5,1,0,1729071562724
28,11,0,1,0,1729071746754
34,20,0,-1,0,1729072015376
28,12,11,1,0,1729072133831
28,12,0,-1,0,1729072157098
28,13,5,1,0,1729072162196
29,13,10,0,0,1729072327592
29,13,10,0,0,1729072340173
29,14,6,-1,0,1729072692722
29,15,4,-1,0,1729073123443
28,15,10,-1,0,1729073562792
30,16,2,0,0,1729073728276
34,23,4,0,0,1729075261874
29,16,6,-1,0,1729075454730
28,17,4,-1,0,1729075578797
34,24,6,1,0,1729077282680
34,25,11,1,0,1729077484776
34,26,8,-1,0,1729079936303
28,19,16,-1,0,1729081685879
26,16,6,1,0,1729081913563
26,17,0,1,0,1729082860896
34,12,0,-1,0,1729084698180
28,20,9,1,0,1729088564174
30,18,5,0,0,1729096283344
34,29,10,-1,0,1729096596272
31,17,2,1,0,1729104478579
29,20,2,0,0,1729123320782
29,21,7,0,0,1729133765271
34,32,10,-1,0,1729152557088
34,34,11,1,0,1729157814693
28,21,8,0,0,1729157999174
26,21,1,0,0,1729182529920
31,19,2,0,0,1729209143621
28,22,2,-1,0,1729209266427
34,36,4,-1,0,1729221344576
28,23,5,-1,0,1729243609782
29,23,0,1,0,1729243748207
30,23,3,-1,0,1729248510000
31,21,0,-1,0,1729257605172
34,38,2,-1,0,1729258020294
34,40,6,1,0,1729258118452
34,39,4,0,0,1729258136074
29,25,4,0,0,1729258249677
30,30,5,0,0,1729258255497
28,24,13,1,0,1729258259697
28,24,17,-1,0,1729258276583
29,25,0,0,0,1729258281683
28,24,4,-1,0,1729258294683
28,27,2,-1,0,1729258393489
34,42,2,1,0,1729258542572
28,28,8,-1,0,1729258552811
31,24,7,-1,0,1729258648377
28,29,5,1,0,1729258934236
34,43,6,0,0,1729259147975
30,37,0,0,0,1729259697947
34,44,1,1,0,1729259713582
30,37,4,-1,0,1729259715674
34,44,2,-1,0,1729259742371
29,26,8,-1,0,1729259858194
29,27,9,-1,0,1729260041399
29,27,4,1,0,1729260045843
28,31,9,1,0,1729260049457
29,27,6,1,0,1729260053073
28,31,14,1,0,1729260078974
28,31,3,-1,0,1729260093973
30,42,3,-1,0,1729260182285
29,28,0,1,0,1729260357555
34,46,1,1,0,1729260485976
29,30,6,-1,0,1729260682388
29,31,9,-1,0,1729261163582
29,31,10,1,0,1729261182374
30,47,0,0,0,1729261388882
30,48,4,-1,0,1729262131265
29,33,4,0,0,1729262329497
30,52,4,-1,0,1729262497476
29,34,1,1,0,1729262502673
30,52,5,-1,0,1729262504974
34,47,0,-1,0,1729262511174
30,53,2,0,0,1729262648573
28,35,16,-1,0,1729262653247
34,49,1,0,0,1729262676902
34,49,9,-1,0,1729262687754
30,54,2,-1,0,1729262698172
29,35,9,-1,0,1729262703874
34,48,9,1,0,1729262705175
34,48,5,1,0,1729262711184
29,35,6,-1,0,1729262730286
28,35,7,0,0,1729262733590
34,50,8,-1,0,1729262758977
29,36,9,-1,0,1729262771985
34,50,2,1,0,1729262783499
28,6,15,0,0,1728978604582
28,6,17,-1,0,1728978605677
28,7,9,-1,0,1728978609285
28,8,9,0,0,1728978613683
28,8,11,0,0,1728978614091
28,8,15,-1,0,1728978614975
29,1,5,-1,0,1728979057175
29,1,9,0,0,1728979057874
29,2,10,0,0,1728979059609
29,3,3,-1,0,1728979061210
29,3,7,0,0,1728979061342
29,5,5,0,0,1728979063793
29,8,2,0,0,1728979069080
29,8,4,0,0,1728979069361
29,8,6,0,0,1728979069425
29,9,1,0,0,1728979070446
29,9,3,0,0,1728979070543
29,9,5,0,0,1728979070642
30,3,1,-1,0,1728979660607
34,2,1,1,0,1728996260896
34,2,5,-1,0,1728996261273
34,2,7,0,0,1728996261358
34,4,1,-1,0,1728996263645
34,4,5,0,0,1728996263907
34,4,7,0,0,1728996263978
34,5,11,1,0,1728996265691
34,11,3,1,0,1729006535427
31,10,7,0,0,1729006774884
29,10,3,1,0,1729006895077
34,12,7,-1,0,1729007284992
34,13,2,-1,0,1729041880877
34,15,1,-1,0,1729070286291
34,16,11,0,0,1729070971074
30,12,4,0,0,1729070992265
31,11,4,1,0,1729071351479
34,18,8,-1,0,1729071570273
28,11,1,1,0,1729071752674
34,20,4,-1,0,1729072020474
28,12,8,0,0,1729072143275
29,13,0,-1,0,1729072335347
28,14,12,-1,0,1729072694110
29,15,5,-1,0,1729073131592
34,22,0,-1,0,1729073593692
30,16,3,0,0,1729073730774
34,23,5,-1,0,1729075275579
31,15,0,-1,0,1729075463199
29,15,4,-1,0,1729075589972
28,17,7,1,0,1729075604703
28,17,11,1,0,1729075621974
28,17,15,1,0,1729075635373
34,24,10,0,0,1729077288525
28,18,0,-1,0,1729078267493
34,26,9,1,0,1729079940889
28,19,17,1,0,1729081690974
26,16,7,-1,0,1729081926273
26,17,1,-1,0,1729082865182
34,12,1,-1,0,1729084702544
28,20,10,-1,0,1729088568678
28,20,14,-1,0,1729088580374
29,18,0,1,0,1729096385379
